with|met
from|van
to (like "a" in spanish)|naar
in|in
in front of|voor
behind|achter
next to|naast
down, downstairs|beneden
above, up, upstairs|boven
below|onder
at, on top|op
between|tussen
the middle|het midden
about|over
at, near|bij
inside|binnen
outside|buiten
against|tegen
around|rond
since (starts with s)|sinds
without|zonder
before (in time)|voor
after (in time)|na
at (e.g today at)|om
